Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),Source (G),Source (H),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,informal,swear,netspeak,assent,nonflu,filler
1332,1329657528783802370,146,,"Working on my OCD, ADHD, weight loss with an unrepaired hernia and chronic foot pain. Yup, Long list. so lets get moving, Right now.",2021-10-25 20:13:51,"After overthinking for an hour, I convinced myself that my thoughts cannot affect reality. how long till my #OCD convinces me otherwise ? I will be waiting for it. its tiring and this struggle is unnecessary. https://t.co/G2iNyJeihE",['OCD'],40,11.86,1.28,99.00,2.89,8.00,25.00,82.50,2.50,0.00,2.50,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.50,7.50,5.00,0.00,0.00,0.00,5.00,2.50,0.00,0.00,2.50,0.00,0.00,0.00,7.50,2.50,2.50,0.00,2.50,0.00,0.00,0.00
1333,1391355096655609857,7,,"An economist, crypto analyst and writer",2021-10-25 20:01:40,"Hey guys, I just dropped a scintillating, captivating, halloween special post in hive 😜. Make sure you check my post out, you will definitely like it.

https://t.co/tqulRksKaZ

#fiction 
#writing
#thriller 
#Ocd
#proofofbrain
#posh
#curie
#creativecoin
#hive 
#HiveBlogShare",,40,78.30,84.14,15.86,99.00,13.33,32.50,57.50,10.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,2.50,0.00,2.50,7.50,0.00,2.50,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,2.50,5.00,0.00,2.50,0.00,0.00,0.00
1334,1215381857426182156,69,"Oak Brook, IL ","The Mind Solution | A non-invasive solution for depression,OCD, and other diagnoses without the use of medication or invasive procedures.",2021-10-25 19:50:58,"Experience Relief in Rockford! Now offering Transcranial Magnetic Stimulation to individuals struggling with depression, OCD, or other diagnoses #ReliefTMS #ReliefMentalHealth #ReliefPsychedelics #Depression #OCD #Anxiety #TMS #Spravato #BrainsWay #Rockford #Illinois https://t.co/9P54O8IzJm",,36,93.26,50.00,11.80,1.00,18.00,52.78,55.56,13.89,2.78,11.11,5.56,0.00,5.56,5.56,0.00,0.00,0.00,0.00,11.11,2.78,2.78,0.00,2.78,0.00,5.56,2.78,0.00,0.00,2.78,0.00,0.00,0.00,2.78,0.00,2.78,0.00,2.78,0.00,0.00,0.00
1335,344170691,1547,Across the water & the world -,....📚 The truth will set you free !!! Let the fire inside of you burn brighter than the fire around you A work in progress. Flowing cat speak .... !!!! 👄🎹,2021-10-25 19:44:54,"Spot on ……
It’s not enjoyment it’s  living hell -  torture #ocd https://t.co/7adXH4TFC1",['ocd'],17,42.68,3.89,6.20,1.00,17.00,11.76,58.82,17.65,5.88,11.76,0.00,11.76,0.00,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.76,0.00,11.76,5.88,5.88,0.00,0.00,0.00
1336,89962967,29196,"Boulder CO, USA","Peter Strong - Psychotherapist specializing in #MindfulnessTherapy via Skype for #Anxiety, #Agoraphobia, #OCD, #Depression, #PTSD & #Addiction. #OnlineTherapy",2021-10-25 19:10:01,Online Therapist for overcoming #OCD. Contact me if you are looking for effective Online Mindfulness Therapy via Skype for overcoming OCD. See: https://t.co/37SDggbIH6 #OCDrecovery #OCDawareness #anxiety #mindfulness #depression,['OCD'],33,93.26,61.92,31.94,1.00,16.50,42.42,72.73,6.06,0.00,6.06,3.03,0.00,3.03,6.06,0.00,3.03,0.00,0.00,12.12,9.09,3.03,3.03,3.03,0.00,3.03,6.06,0.00,6.06,0.00,0.00,0.00,0.00,6.06,0.00,3.03,0.00,3.03,0.00,0.00,0.00
1337,2632763290,425,Derbyshire UK,Writer / Brit / mental illness advocate / lover of rats #amwriting 🌻🐀🖊️,2021-10-25 19:09:12,"While this is a heartwarming story, please please please educate yourselves on the horrors of OCD and stop perpetuating this twaddle. The D stands for disorder. It is DEBILITATING. CRIPPLING. Many things, but not heartwarming! #ocd #actuallyocd #mentalhealth https://t.co/gzdFcbJUJp",,43,74.74,50.00,5.92,99.00,7.17,30.23,67.44,13.95,11.63,2.33,2.33,0.00,0.00,4.65,0.00,0.00,0.00,0.00,4.65,0.00,0.00,0.00,0.00,0.00,4.65,2.33,0.00,0.00,0.00,0.00,2.33,0.00,4.65,0.00,2.33,0.00,2.33,0.00,0.00,0.00
1338,89962967,29196,"Boulder CO, USA","Peter Strong - Psychotherapist specializing in #MindfulnessTherapy via Skype for #Anxiety, #Agoraphobia, #OCD, #Depression, #PTSD & #Addiction. #OnlineTherapy",2021-10-25 18:40:01,Online Mindfulness-based Cognitive Behavioral Therapy for OCD. Online Mindfulness Therapy. Contact me to schedule online therapy via Skype. Most people see big improvements after 3-4 sessions. See: Online Psychotherapy for OCD https://t.co/wCjfIfXsZo #OCD #OCDTreatment #OCDReco…,,41,98.51,59.64,56.30,71.55,8.20,36.59,65.85,2.44,2.44,0.00,0.00,0.00,0.00,4.88,0.00,2.44,0.00,0.00,9.76,4.88,2.44,0.00,2.44,0.00,0.00,4.88,0.00,2.44,2.44,0.00,0.00,0.00,4.88,0.00,2.44,0.00,2.44,0.00,0.00,0.00
1339,2327141264,83,Kent,"wife👰mum to bella🐕 
atheist. property investor/landlord  performing arts, lover of music, fashion, horror, tattoos, travel.",2021-10-25 18:08:14,"This shop needs to clean their mirror🪞
#ocd #karllagerfeld https://t.co/OrIjn3isVV","['ocd', 'karllagerfeld']",14,83.81,76.25,1.00,25.77,14.00,14.29,57.14,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,0.00,0.00,0.00,7.14,0.00,0.00,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.14,0.00,7.14,0.00,7.14,0.00,0.00,0.00
1340,1104857264,40,,,2021-10-25 17:59:44,😡😡😡 But in other news I would like to thank our glorious #nhs for their amazing support last night.  Fantastic paramedics called for my daughter who is battling #ocd https://t.co/hTrSZPw70I,['nhs'],33,66.08,72.77,31.94,99.00,16.50,27.27,78.79,21.21,18.18,3.03,0.00,3.03,0.00,15.15,3.03,0.00,3.03,0.00,9.09,0.00,0.00,3.03,0.00,0.00,6.06,9.09,3.03,0.00,6.06,0.00,0.00,3.03,9.09,0.00,3.03,0.00,3.03,0.00,0.00,0.00
1341,874740054270255104,26,Middle America,I would never jump into shark-infested waters.,2021-10-25 17:54:28,"#OCD triggered. https://t.co/lFFCQn3EQP",['OCD'],7,93.26,50.00,1.00,25.77,3.50,28.57,42.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,0.00,14.29,0.00,0.00,0.00
1342,712174597488185344,16,,,2021-10-25 17:51:00,"#Pexep (#GenericParoxetine Tablets) is used  to treat 
#MajorDepressiveDisorder  #ObsessiveCompulsiveDisorder #PanicDisorder  #GeneralisedAnxietyDisorder #SocialAnxietyDisorder  #PremenstrualDysphoricDisorder  #OCD  #MDD #GAD #SAD #PD #PTSD #PMDD  
https://t.co/FYxNjFSLEU https://t.co/K0t3PTH0uG","['Pexep', 'GenericParoxetine', 'MajorDepressiveDisorder', 'ObsessiveCompulsiveDisorder']",30,93.26,50.00,1.00,1.00,30.00,33.33,33.33,13.33,3.33,10.00,6.67,0.00,3.33,0.00,0.00,0.00,0.00,0.00,3.33,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,3.33,0.00,6.67,0.00,6.67,0.00,0.00,0.00
1343,712174597488185344,16,,,2021-10-25 17:45:00,"#GenericClomipramine  Tablets  ONLY $0.20  #Clonil   is used for the treatment of #obsessivecompulsivedisorder ( #OCD ) and #depression  https://t.co/tubZGviS21 https://t.co/OaP1CE9P41","['GenericClomipramine', 'Clonil', 'obsessivecompulsivedisorder']",25,93.26,50.00,1.00,1.00,25.00,28.00,48.00,8.00,0.00,8.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00
1344,1203068388853133320,525,"West Virginia, USA",Co-host of @CapsChirp w @hockeytrollin on @hockeypodnet network. hockey addict #Raidernation Montani Semper Liberi,2021-10-25 17:43:58,"Colin’s first article was so powerful and he followed up here telling the rest of the story. I think everyone should read this and his first article (his struggle with OCD).

#ALLCAPS #GoAvsGo #thpn #mentalhealth #HockeyTwitter #MentalHealthMatters #OCD #addiction #colinwilson https://t.co/9Za297gKdK",,46,60.05,86.15,1.00,4.13,15.33,32.61,67.39,2.17,0.00,2.17,2.17,0.00,0.00,13.04,0.00,0.00,0.00,6.52,6.52,2.17,0.00,2.17,0.00,2.17,0.00,10.87,0.00,6.52,6.52,0.00,0.00,4.35,2.17,0.00,2.17,0.00,2.17,0.00,0.00,0.00
1345,277062398,271,"Portland, Oregon",Providing evidence-based counseling and classes for personal growth. Call us at 503-281-4852.,2021-10-25 17:30:13,"Internet use disorder may be linked to OCD https://t.co/ctgFOQJwHD (shared by Brian Thompson, PhD https://t.co/xjCWhMTHRl) #OCD #hoarding #Internetusedisorder",,26,93.26,64.99,1.40,89.84,26.00,26.92,46.15,3.85,3.85,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,11.54,3.85,3.85,0.00,3.85,0.00,0.00,7.69,3.85,0.00,3.85,0.00,0.00,3.85,7.69,3.85,7.69,0.00,7.69,0.00,0.00,0.00
1346,3069381795,9764,"Chicago, IL.","#tDCS #BrainStimulation Device for #PeakPerformance #nootropics #gamers #writers #actors #PED #success #creativity #neurology #LCSW #Neuroscience #Psychotropics",2021-10-25 17:13:02,"Predictors of Deep #BrainStimulation Efficacy for Impulsive and Compulsive Behavior @NeurologyAdvisor  @brandonmilesmay #OCD #addiction #obsessions @TheBrainDriver #tDCS #BrainPower #BrainStimulation #focus #PeakPerformance https://t.co/NiBf3TSylF 
https://t.co/lWliN9R7z0 https://t.co/MDMt0hqtmR",['BrainStimulation'],36,95.47,50.00,1.00,2.09,36.00,47.22,44.44,2.78,0.00,2.78,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.78,8.33,0.00,8.33,0.00,0.00,0.00
1347,89962967,29196,"Boulder CO, USA","Peter Strong - Psychotherapist specializing in #MindfulnessTherapy via Skype for #Anxiety, #Agoraphobia, #OCD, #Depression, #PTSD & #Addiction. #OnlineTherapy",2021-10-25 17:10:00,Online Psychotherapist for #OCD Health Anxiety and #Hypochondria via Skype. Mindfulness Therapy is very effective and you will notice significant improvements after 3-4 sessions with me. Visit: https://t.co/a34MmnaE1i #intrusivethoughts #OCDtreatment #OCDrecovery,"['OCD', 'Hypochondria']",36,81.63,71.09,58.07,25.77,12.00,36.11,63.89,5.56,2.78,2.78,2.78,0.00,0.00,5.56,0.00,0.00,0.00,0.00,8.33,8.33,2.78,0.00,0.00,0.00,0.00,2.78,0.00,2.78,0.00,0.00,0.00,0.00,5.56,2.78,2.78,0.00,2.78,0.00,0.00,0.00
1348,1375671769286156289,45,Aceh//Indonesia,"I am a lover of macrophotography, I work in the furniture section and I always take the time to do macrophotography shooting every day.",2021-10-25 17:06:45,"Macrophotography || grasshopper. — Hive https://t.co/lmLTTuZLzJ 

#hive #posh #photography #macrophotography #insects #photofeed #macro #amazingnature #ocd oc","['hive', 'posh', 'photography', 'macrophotography']",18,93.26,50.00,1.00,25.77,9.00,44.44,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,5.56,0.00,0.00,0.00
1349,89962967,29196,"Boulder CO, USA","Peter Strong - Psychotherapist specializing in #MindfulnessTherapy via Skype for #Anxiety, #Agoraphobia, #OCD, #Depression, #PTSD & #Addiction. #OnlineTherapy",2021-10-25 17:05:01,Online Counseling for overcoming #OCD. Online Mindfulness Therapy via Skype. Get better without using medications. Most people see huge improvements after 3-4 sessions. Contact me. See: https://t.co/eAvHG7JiTg,['OCD'],32,97.36,50.00,55.79,99.00,5.33,31.25,75.00,6.25,6.25,0.00,0.00,0.00,0.00,9.38,0.00,3.12,0.00,0.00,12.50,3.12,3.12,0.00,3.12,0.00,3.12,15.62,0.00,9.38,3.12,6.25,0.00,0.00,9.38,0.00,3.12,0.00,3.12,0.00,0.00,0.00
1350,2895321737,348,"London, Europe","Not the children's author.
Drinker of tea, keeper of bees, worshipper of cats. The cooler Wilson sister
🐱♀️☀️🐸♥️🐝🌹🇪🇺 My own views",2021-10-25 16:53:15,"Is this a cute, fun story? Or is it reinforcing the idea that #OCD is just a funny quirk that makes you want to be clean ""like Monica from Friends?"" and not a debilitating illness?

@BBCNews does have some good mental health coverage, but this is not it. https://t.co/g52Ln33zxT",['OCD'],53,39.90,35.28,2.73,99.00,10.60,13.21,83.02,7.55,7.55,0.00,0.00,0.00,0.00,5.66,0.00,1.89,0.00,0.00,15.09,1.89,1.89,1.89,3.77,0.00,7.55,3.77,1.89,0.00,0.00,1.89,0.00,0.00,16.98,0.00,1.89,0.00,1.89,0.00,0.00,0.00
1351,37049995,556,"England, United Kingdom","here for any discussion regarding politics, snooker, football (#YTFC), travel, հայաստան",2021-10-25 16:51:21,"This article is bollocks and an insult from an organisation that zealously bangs on about mental health awareness. OCD IS NOT A PERSONALITY TRAIT, IT IS NOT SOMETHING THAT IS ‘THERAPEUTIC’, THE VERY NATURE OF AN ILLNESS IS THAT IT IS THE COMPLETE OPPOSITE OF THERAPEUTIC #ocd https://t.co/aUMEb9fTsT",,52,70.38,16.81,2.90,5.37,26.00,25.00,78.85,1.92,0.00,1.92,0.00,1.92,0.00,1.92,0.00,0.00,0.00,0.00,11.54,1.92,0.00,0.00,1.92,1.92,5.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.54,0.00,3.85,1.92,1.92,0.00,0.00,0.00
1352,1436258074852044830,71,,"Anonymised account discussing day to day life, #Mentalhealth, #Bipolar, #Anxiety, and #OCD. UK based. 🏳️‍🌈",2021-10-25 16:41:58,Mother and partner have checked into the B&amp;B. Now on their way here. Really hope it isn't as bad as I think it will be and I can hold myself together. #mentalhealth #bipolar #anxiety #OCD https://t.co/YFIkLrd1FE,,42,18.82,31.71,68.01,3.31,10.50,16.67,80.95,7.14,2.38,4.76,2.38,0.00,0.00,9.52,2.38,2.38,2.38,0.00,9.52,2.38,0.00,2.38,2.38,0.00,4.76,7.14,4.76,0.00,0.00,0.00,2.38,0.00,16.67,4.76,7.14,0.00,7.14,0.00,0.00,0.00
1353,1379966806098542594,31,,Photographer - Nature lover - Outdoor activity - Local guide - Travel,2021-10-25 16:40:55,"This is my entry for the #monomad challenge

https://t.co/o7vvuWdAYL

#hive #bnwphotography #monomad #posh #ocd","['monomad', 'hive', 'bnwphotography', 'monomad', 'posh', 'ocd']",18,86.43,28.91,1.00,98.27,18.00,27.78,44.44,5.56,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,5.56,0.00,0.00,0.00,0.00,5.56,0.00,5.56,0.00,5.56,0.00,0.00,0.00
1354,1359370676168253442,1070,United Kingdom,CAUTION: An anonymous diary of my own thoughts & feelings. I vent freely about mental health! ENJOY❤ #borderlinepersonalitydisorder #mentalhealth #ADHD #metoo,2021-10-25 16:37:46,"Remember all you beautiful souls,

You got all the power in the world to do whatever you want to do. Tweet away! Own it and do your thing!

#mentalhealth #MentalHealthAwareness #MentalHealthMatters #BPD #ADHD #depression #anxiety #OCD #winner #survivor #warrior",,39,71.92,98.93,1.40,25.77,9.75,25.64,82.05,10.26,5.13,5.13,2.56,0.00,2.56,12.82,0.00,0.00,0.00,0.00,10.26,2.56,0.00,2.56,0.00,5.13,0.00,12.82,2.56,5.13,5.13,5.13,0.00,5.13,10.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1355,772515514136526848,374,"England, United Kingdom","Online Therapy via Video-Calls with Chartered Clinical Psychologist, Therapist, & OCD Specialist | Evidence-Based Therapy ~ CBT (ERP, ACT, CFT) & Buddhism ☸",2021-10-25 16:36:13,"OCD can feel like being in a labyrinth, where the more we try and find a way out, the more lost we become.
#OCD #OCDrecovery #intrusivethoughts #obsession #compulsion #mentalhealth",['OCD'],29,93.26,91.60,69.96,1.00,14.50,20.69,82.76,6.90,0.00,6.90,3.45,0.00,3.45,6.90,0.00,0.00,0.00,0.00,13.79,10.34,0.00,0.00,3.45,0.00,0.00,13.79,6.90,6.90,0.00,0.00,0.00,3.45,17.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1356,89962967,29196,"Boulder CO, USA","Peter Strong - Psychotherapist specializing in #MindfulnessTherapy via Skype for #Anxiety, #Agoraphobia, #OCD, #Depression, #PTSD & #Addiction. #OnlineTherapy",2021-10-25 16:35:01,Online Psychotherapist for #OCD and obsessive intrusive thoughts and traumatic memories using the very powerful techniques of Mindfulness Therapy as developed by Dr. Peter Strong. Go to: https://t.co/4fEstIJ89K #OCDtreatment #OCDrecovery,['OCD'],35,97.14,50.00,5.55,1.91,17.50,40.00,62.86,8.57,2.86,5.71,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.43,8.57,2.86,0.00,0.00,0.00,0.00,5.71,0.00,2.86,5.71,0.00,0.00,0.00,2.86,0.00,2.86,0.00,2.86,0.00,0.00,0.00
1357,1086325575566925827,50,United States,"Founded on a personal crusade to fight the battle against brain disorders, ABS links those affected to the research scientists working on treatments & cures.",2021-10-25 16:30:09,"Obsessive-Compulsive Disorder (OCD) affects an estimated 2.3% of adults in the United States.  

OCD is typically treated with a combination of antidepressant medications and psychotherapy.  

#ocd #unitedbrainassociation 

https://t.co/iF08xropXI https://t.co/aBhqQE1BT8",,38,98.71,60.39,1.00,2.51,12.67,36.84,52.63,2.63,0.00,2.63,2.63,0.00,0.00,2.63,0.00,0.00,0.00,0.00,5.26,0.00,2.63,0.00,2.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.63,0.00,5.26,0.00,5.26,0.00,0.00,0.00
1358,1444055948671266816,52,Dissociative State,Afflicted w-Manic Pixie Dream Girl syndrome. Or as my therapist likes to call it: Borderline Personality Disorder 🍊 #cursed,2021-10-25 16:09:24,"Anyone addressing multiple disorders in therapy at once ? How do you ensure equal time spent on both? I feel like BPD is drowning out my other issues that are JUST AS LIFE RUINOUS &amp; I can’t find the balance . 

* or is this the therapist’s job ?
#bpd #ocd",,47,49.07,19.75,96.52,4.35,9.40,17.02,82.98,2.13,0.00,2.13,0.00,0.00,2.13,4.26,0.00,0.00,0.00,0.00,14.89,4.26,2.13,0.00,4.26,0.00,6.38,0.00,0.00,0.00,0.00,0.00,0.00,2.13,14.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1359,1124468260475478016,30,Everywhere!!,"#Hiveisalive! Join us!
https://t.co/oj6eC1AEin is available for everyone too!  https://t.co/XELQthylrb",2021-10-25 16:02:53,"We made pizza and painted our kitchen! 
Take a look!
https://t.co/2w69Am4Io0
#hive #posh #ocd #pizza #originalcontent
#Foodie","['hive', 'posh', 'ocd', 'pizza', 'originalcontent', 'Foodie']",24,81.63,95.20,1.00,25.77,8.00,12.50,54.17,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,4.17,0.00,4.17,0.00,0.00,0.00,0.00,12.50,8.33,0.00,0.00,4.17,0.00,4.17,8.33,0.00,4.17,0.00,4.17,0.00,0.00,0.00
1360,619162830,2063,UK,"JRF, New College, Oxford | Catholics & Antiquarianism 1560-1660 | DPhil: Sir Thomas Tresham | Manuscripts | Soprano | Anglican | Own views | On maternity leave",2021-10-25 15:58:48,It looks like @BBCNews has now updated the story to remove that quotation and include info about #OCD. I think more could be done too contextualise what is a really problematic spin on this young man’s successes so as not to perpetuate the ‘I’m so OCD’ ‘I’m such a Monica’ myth. https://t.co/slquMqu4mr,['OCD'],56,29.30,23.75,41.07,25.77,18.67,16.07,82.14,3.57,1.79,1.79,0.00,0.00,0.00,3.57,0.00,0.00,0.00,1.79,10.71,3.57,0.00,3.57,0.00,0.00,3.57,3.57,0.00,1.79,0.00,1.79,1.79,1.79,17.86,0.00,1.79,0.00,1.79,0.00,0.00,0.00
1361,1346929718,1835,London,Award winning journalist and writer. @CosmopolitanUK Instagram: dcscott20,2021-10-25 15:58:04,Any #OCD huns have any knowledge of excoriation disorder and/or had any decent treatment for it?,['OCD'],17,59.32,27.83,6.20,98.87,17.00,23.53,76.47,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.41,5.88,0.00,0.00,23.53,0.00,5.88,0.00,0.00,0.00,0.00,0.00,0.00,5.88,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1362,105864312,379,"Riga, Latvia"," I believe in annoyed at first sight.
📌 šeit - par lietām, kuras tracina. Subjektīvs viedoklis - nekā personīga (lielākoties). 🤷‍♀️",2021-10-25 15:49:39,"Am I the only one who got triggered just by seeing that corner left outside? #OCD 
@LinusTech https://t.co/2lVQdjsFYr",['OCD'],22,69.94,50.00,31.94,25.77,11.00,18.18,77.27,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,4.55,0.00,4.55,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,4.55,0.00,9.09,4.55,0.00,4.55,0.00,4.55,0.00,0.00,0.00
1363,811313312491327488,2518,"Manchester, England","OCD sufferer,T1Diabetic,MUFC,veggie, aspiring copywriter, LJMU Grad, Distinction Level 4 Diplomas in Copywriting, SEO Content Writing, & Social Media Marketing.",2021-10-25 15:38:05,"I don't think I'll ever be cured of #OCD, but since Fri- Mon,I'VE GIVEN IT A BLOODY GOOD HIDING. Wked in Liverpool at a mate's,a gig,bars,restaurants, &amp; FIRST TIME IN A BLACK CAB FOR OVER A DECADE! Only downside was being in a scouse pub as United lost 0-5 :D",['OCD'],55,93.26,18.16,95.06,25.77,18.33,5.45,80.00,3.64,1.82,1.82,0.00,0.00,1.82,1.82,0.00,1.82,0.00,0.00,7.27,1.82,1.82,0.00,0.00,1.82,1.82,10.91,1.82,3.64,1.82,1.82,1.82,5.45,7.27,1.82,1.82,1.82,0.00,0.00,0.00,0.00
1364,2984478899,898,London Bridge,Bringing well-being through mindfulness and compassion. Contact us for info on classes.,2021-10-25 15:31:23,"Beautiful compassionate, supportive and hopeful message from @TheOCDStories in episode 300. Well done Stu in creating this ‘research project’ which gives connection, support and information to so many! #ocd https://t.co/lXS8sb0Y9W",,34,74.42,81.12,2.14,99.00,11.33,41.18,76.47,20.59,20.59,0.00,0.00,0.00,0.00,8.82,0.00,0.00,0.00,0.00,8.82,2.94,2.94,2.94,2.94,0.00,0.00,8.82,5.88,2.94,0.00,0.00,0.00,2.94,5.88,2.94,5.88,0.00,2.94,0.00,2.94,0.00
1365,89962967,29196,"Boulder CO, USA","Peter Strong - Psychotherapist specializing in #MindfulnessTherapy via Skype for #Anxiety, #Agoraphobia, #OCD, #Depression, #PTSD & #Addiction. #OnlineTherapy",2021-10-25 15:30:31,Online Psychotherapist for managing #OCD. Visit: https://t.co/37SDggbIH6  #OCDrecovery #OCDawareness #anxiety #mindfulness #depression,"['OCD', 'OCDrecovery', 'OCDawareness', 'anxiety', 'mindfulness', 'depression']",17,97.21,72.17,6.20,1.00,8.50,47.06,47.06,11.76,0.00,11.76,5.88,0.00,5.88,5.88,0.00,0.00,0.00,0.00,5.88,5.88,0.00,0.00,0.00,0.00,0.00,5.88,0.00,0.00,5.88,0.00,0.00,0.00,0.00,0.00,5.88,0.00,5.88,0.00,0.00,0.00
1366,1277641959570583555,248,,🐜🎩 I'm an easy going Texas gal who enjoys the simple things in life.  This is my own little space for everything Impractical Jokers. #WSY #GFY #TESD,2021-10-25 15:28:04,I'm Team Joe this week but for the love of God @joederosacomedy please check your mic cover before y'all start taping! 😁😊🤣🙃🤪 #OCD #ADHD https://t.co/w4dzXPllrH,,28,83.81,92.33,30.01,99.00,14.00,7.14,60.71,7.14,7.14,0.00,0.00,0.00,0.00,14.29,0.00,0.00,0.00,0.00,3.57,0.00,0.00,0.00,0.00,0.00,3.57,10.71,7.14,3.57,3.57,0.00,0.00,0.00,7.14,0.00,3.57,0.00,3.57,0.00,0.00,0.00
1367,89962967,29196,"Boulder CO, USA","Peter Strong - Psychotherapist specializing in #MindfulnessTherapy via Skype for #Anxiety, #Agoraphobia, #OCD, #Depression, #PTSD & #Addiction. #OnlineTherapy",2021-10-25 15:20:03,Mindfulness-based Image Reprocessing for OCD. Online Mindfulness Therapy via Skype. Most people see huge improvements after 3-4 sessions. Contact me to learn more. See: Online Psychotherapy for OCD https://t.co/wCjfIfXsZo #OCD #OCDTreatment #OCDRecovery,,38,98.71,60.39,50.35,74.74,7.60,28.95,68.42,2.63,2.63,0.00,0.00,0.00,0.00,5.26,0.00,2.63,0.00,0.00,13.16,7.89,2.63,0.00,2.63,0.00,0.00,5.26,0.00,2.63,2.63,0.00,0.00,0.00,7.89,0.00,2.63,0.00,2.63,0.00,0.00,0.00
1368,501019767,1488,"Toronto, ON Canada","Province of Ontario Neurodevelopmental Disorders Network. Clinicians, scientists, & families working to improve outcomes for kids w #neurodevelopmentaldisorders",2021-10-25 15:16:01,"Join @POND #scientist, @Stelios_ASD, and experts from @DalhousieU, CP-Net &amp; @EpLinkON for a #Sleep #Webinar for #Families of kids with #ADHD, #Autism, #CerebralPalsy, #Epilepsy, #IntellectualDisabilities &amp; #OCD on Nov 9.  https://t.co/vkbej1JiUD","['scientist', 'Sleep', 'Webinar']",37,99.00,70.57,1.00,75.85,18.50,29.73,45.95,2.70,2.70,0.00,0.00,0.00,0.00,5.41,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.11,5.41,0.00,2.70,0.00,0.00,0.00,2.70,0.00,2.70,0.00,2.70,0.00,0.00,0.00
1369,1102873614888722433,588,"Cambridge, England",Orchard OCD is a charity that accelerates the development of new and better treatments for obsessive-compulsive disorder.,2021-10-25 15:00:51,"New #OCD Study!

@UniofHerts is looking for adults (18-55 years old) who do less than 60 minutes of physical activity a week to take part in their study. The study is looking at the feasibility of delivering a virtual squat #fitness test.  

Interested? Email l.bottoms@hert.ac.uk https://t.co/9L8t3iq5uH",['OCD'],58,98.67,69.76,18.03,58.39,11.60,20.69,67.24,1.72,1.72,0.00,0.00,0.00,0.00,6.90,0.00,0.00,0.00,0.00,1.72,0.00,0.00,0.00,0.00,0.00,1.72,1.72,0.00,0.00,0.00,1.72,0.00,0.00,6.90,0.00,1.72,0.00,1.72,0.00,0.00,0.00
